ax,ay,az,gx,gy,gz,label
-0.0306,-0.0953,0.3448,22.1558,-113.3423,1.5259,updown
-0.1057,-0.0726,0.2649,22.4609,-91.4307,2.0752,updown
-0.1676,-0.1432,0.1212,15.6250,-70.6177,1.7090,updown
-0.2253,-0.1154,-0.0205,21.6064,-26.7944,-6.1035,updown
-0.2843,-0.1089,0.0676,18.7378,10.1318,-4.0283,updown
-0.2863,-0.1356,0.0619,-18.4326,33.9966,6.2866,updown
-0.2385,-0.0870,0.2379,-19.9585,68.1763,-2.4414,updown
-0.2249,-0.0260,0.4456,-33.8745,92.2241,3.2349,updown
-0.1375,-0.1616,0.6416,-33.9966,111.6333,8.6670,updown
-0.0844,-0.1747,0.8210,-7.8125,121.9482,-21.8506,updown
-0.0883,-0.0723,0.9823,-14.8926,117.0044,-16.9678,updown
0.0111,-0.0697,1.1394,-23.9868,117.2485,-10.9863,updown
-0.1112,-0.0759,0.7139,9.5215,110.5957,-0.3052,updown
0.0040,-0.0817,0.8458,20.9961,118.4692,-1.5259,updown
-0.0168,-0.0623,0.8954,-2.4414,119.5068,9.0332,updown
-0.0009,-0.1451,1.3431,-15.3198,145.6909,21.7895,updown
0.0013,-0.1844,1.5194,6.9580,109.1919,9.2163,updown
-0.1167,-0.0739,1.7572,-15.8691,96.6797,1.0376,updown
-0.2208,-0.0181,1.9095,-6.6528,67.5659,5.6152,updown
-0.2139,-0.1030,1.9934,-7.1411,31.7993,9.5215,updown
-0.1534,-0.1290,1.9519,-11.6577,-7.4463,16.1133,updown
-0.0607,-0.1725,1.9138,2.3804,-61.3403,5.7983,updown
0.0018,-0.1158,1.6344,-8.4229,-95.6421,6.4697,updown
0.0276,-0.0175,1.4889,0.0610,-118.8354,5.5542,updown
0.0530,-0.0715,1.2292,19.2871,-129.8218,3.1128,updown
0.0331,-0.0717,1.0449,2.1362,-130.7983,7.1411,updown
0.0166,-0.0997,0.8308,6.7139,-125.9155,10.2539,updown
-0.0225,-0.1445,0.6687,17.5781,-127.8686,0.4883,updown
-0.1184,-0.1093,0.4215,4.5166,-118.1030,4.5166,updown
-0.1954,-0.1086,0.3270,0.9155,-86.9141,5.7983,updown
-0.2638,-0.0996,0.2532,3.4790,-64.0869,4.0283,updown
-0.3064,-0.1038,0.2172,14.9536,-36.1328,-1.3428,updown
-0.3271,-0.0795,0.1482,6.7139,-19.1650,-4.3945,updown
-0.3530,-0.0601,0.1348,14.7705,23.8037,-0.6104,updown
-0.3523,-0.0702,0.2644,-8.6060,44.0063,7.8735,updown
-0.2833,-0.1505,0.3920,-6.3477,78.1860,6.1646,updown
-0.2417,-0.1581,0.5812,-0.1221,90.9424,-7.0801,updown
-0.1683,-0.0778,0.7659,-13.3057,100.5249,-6.6528,updown
-0.1879,-0.1010,0.7533,-11.5967,107.6050,-6.8970,updown
-0.1715,-0.0973,1.0278,-18.0664,127.3804,-10.9253,updown
-0.0616,-0.0099,1.1790,-15.3809,118.5913,-14.3433,updown
-0.1868,-0.0303,1.3555,-10.2539,112.6099,-9.8877,updown
-0.0737,-0.0078,1.4299,-11.7798,103.6377,-0.9766,updown
-0.1628,-0.0686,1.6678,-15.6860,87.0972,7.4463,updown
-0.1074,-0.0924,1.8915,-11.1694,58.4106,12.5122,updown
-0.0123,-0.1671,2.1586,-3.5400,31.9824,16.6626,updown
0.0659,-0.1433,2.1863,3.9673,-43.9453,3.0518,updown
0.0923,-0.0618,1.8619,18.5547,-94.2383,-8.8501,updown
0.0522,-0.0059,1.4958,0.0610,-136.4136,-2.0752,updown
0.0160,-0.0416,1.1234,18.8599,-133.4229,1.5869,updown
-0.0162,-0.0336,0.8866,13.4277,-132.6904,2.6245,updown
-0.0621,-0.1013,0.6163,17.5171,-127.8686,0.9766,updown
-0.0964,-0.0758,0.5336,-6.1035,-104.1260,1.7090,updown
-0.1588,-0.0444,0.3389,17.2119,-89.0503,-1.4648,updown
-0.1835,-0.0959,0.2716,14.0381,-56.0303,1.7700,updown
-0.2070,-0.1107,0.1176,15.9912,-44.3115,-1.7090,updown
-0.2617,-0.0745,0.0653,18.6157,-6.8359,-13.1836,updown
-0.2532,-0.0620,0.1288,6.8970,20.8740,-6.2866,updown
-0.2148,-0.1237,0.2284,-17.8833,60.2417,5.3711,updown
-0.1414,-0.0848,0.4064,-8.6060,84.4726,-3.7231,updown
-0.0382,-0.0909,0.4270,-30.6396,89.8437,9.7046,updown
-0.0364,0.0151,0.6307,-34.8511,129.2114,5.9204,updown
-0.0780,0.0298,0.8518,12.5122,119.2017,-12.4512,updown
-0.1569,0.0630,0.8545,13.7939,124.6948,-3.2349,updown
-0.0840,-0.0612,1.1488,5.7373,150.9399,17.0288,updown
-0.0085,-0.0372,1.3741,-21.7895,142.8223,30.3345,updown
0.0192,-0.2780,1.6108,12.4512,129.4556,6.8970,updown
0.0452,-0.0490,1.9288,-9.5825,100.4028,0.5493,updown
0.0494,-0.0543,2.1678,-12.4512,39.3677,4.7607,updown
0.1113,-0.0269,2.1379,-15.8691,-3.5400,7.5073,updown
0.1156,-0.0664,1.9620,9.3994,-62.2559,3.6011,updown
0.0874,-0.1040,1.6849,18.3716,-97.9004,0.6714,updown
0.0830,-0.1095,1.3962,3.4180,-123.8403,1.0376,updown
0.0607,-0.0723,1.2006,-2.6245,-127.6245,2.6245,updown
0.0364,-0.0461,1.0300,2.3193,-130.6152,-1.5869,updown
0.0035,-0.0476,0.8607,10.9863,-129.7607,-3.5400,updown
-0.0615,-0.0605,0.7026,8.3008,-124.1455,-1.2817,updown
-0.1227,-0.0590,0.6167,-0.3052,-116.6992,2.0752,updown
-0.2008,-0.0660,0.4492,11.0474,-98.1445,0.6104,updown
-0.2324,-0.0571,0.3961,2.6245,-76.5991,0.5493,updown
-0.2987,-0.0166,0.2871,8.6060,-60.1196,0.1221,updown
-0.3375,-0.0542,0.1458,21.6064,-24.9634,-1.4648,updown
-0.3694,-0.0450,0.1161,9.2773,0.9155,0.6104,updown
-0.3893,-0.0905,0.1531,6.8359,33.3862,3.3569,updown
-0.3561,-0.1313,0.2946,-7.9956,60.1807,3.7842,updown
-0.3005,-0.1661,0.4928,-21.4844,94.7266,3.7842,updown
-0.2065,-0.1553,0.7069,-10.6201,104.6143,-9.0332,updown
-0.2117,-0.0809,0.7965,-10.0708,102.6001,-11.2915,updown
-0.1581,-0.1228,0.8633,1.6479,122.8638,-13.7329,updown
-0.1919,-0.1790,0.9355,14.5874,115.4785,-27.7100,updown
-0.0999,-0.0623,1.1582,0.8545,123.4131,-22.3999,updown
-0.0702,-0.0917,1.3533,8.7280,106.2622,-9.0332,updown
0.0099,-0.0464,1.4131,15.1978,93.6279,-4.7607,updown
0.0500,-0.0906,1.6218,0.3662,87.4634,5.9814,updown
0.0872,-0.0730,1.8112,-11.4746,58.5937,13.4277,updown
0.1116,-0.1233,2.1831,1.3428,22.3389,8.5449,updown
0.1323,-0.0876,2.1279,-1.0376,-34.7900,9.3384,updown
0.0959,-0.1343,1.8864,13.4888,-89.1113,1.7090,updown
0.0962,-0.1460,1.5345,8.2397,-116.6382,3.6621,updown
0.0668,-0.1512,1.2129,12.8174,-128.4790,-1.0986,updown
0.0460,-0.1438,0.9354,5.7983,-123.4131,-8.9722,updown
-0.0242,-0.0933,0.7682,13.0005,-109.3140,-12.0239,updown
-0.0485,-0.1230,0.6528,0.0610,-100.9521,-9.5825,updown
-0.1287,-0.0488,0.4982,-4.9438,-90.3931,-3.5400,updown
-0.1903,-0.0354,0.4263,0.1221,-71.8994,2.7466,updown
-0.2450,-0.0854,0.3297,-6.1035,-66.2842,4.7607,updown
-0.2941,-0.1027,0.2856,8.9722,-47.4853,-3.5400,updown
-0.3195,-0.0690,0.2424,8.7280,-30.8838,-0.8545,updown
-0.3127,-0.0144,0.2183,-1.6479,9.3994,9.5215,updown
-0.3331,-0.0461,0.3043,2.3804,29.7241,13.0005,updown
-0.2905,-0.2175,0.4114,-2.9297,56.9458,7.8125,updown
-0.2396,-0.1470,0.5812,-10.3149,73.5474,-0.3052,updown
-0.3246,-0.0511,0.3049,-7.0801,53.7720,7.0190,updown
-0.2607,-0.1858,0.4539,-6.4087,76.4160,2.9297,updown
-0.1853,-0.1627,0.5659,-14.0991,84.4726,-12.3901,updown
-0.1818,0.0183,0.7581,-15.8691,96.4355,-9.9487,updown
