ax,ay,az,gx,gy,gz,label
-0.3896,0.9205,0.9419,-11.1084,5.9204,-48.7061,shake
-0.3104,0.7335,1.0281,38.1470,14.2212,74.6460,shake
-0.1267,0.3157,1.0626,82.5806,2.3804,156.3110,shake
-0.0454,-0.3291,1.0674,70.6787,-13.4277,158.0200,shake
-0.1075,-0.7091,0.8367,90.5762,-26.9165,106.1401,shake
-0.0750,-1.2201,0.5937,69.5190,-5.3711,29.6020,shake
-0.1198,-0.8138,0.6862,-84.4726,10.0708,-80.7495,shake
-0.1906,-0.2744,0.9930,-91.4917,24.2310,-122.1924,shake
-0.2119,0.0730,1.0175,-61.6455,13.3057,-133.7280,shake
-0.3219,0.5011,0.9883,-44.9219,9.6436,-97.4121,shake
-0.3724,0.7382,1.0177,-4.8218,16.9067,-19.6533,shake
-0.2500,0.6113,1.1067,49.9878,13.6719,67.6270,shake
0.0316,-1.4569,0.6909,89.7217,-17.5781,88.7451,shake
-0.0515,-1.4814,0.4722,-4.3335,-14.6484,-128.2349,shake
-0.1362,-0.5214,0.7324,-187.0727,1.4648,-166.5649,shake
-0.1689,0.1356,1.0667,-90.0879,19.8975,-208.0078,shake
-0.3115,1.0222,0.9910,-56.4575,12.6343,-140.5640,shake
-0.4678,1.2865,0.9237,28.8696,33.2031,40.5884,shake
-0.1141,0.7568,1.2249,91.0034,50.0488,152.1606,shake
0.0975,-0.2157,1.2510,62.9272,-30.4565,179.8706,shake
-0.1111,-0.5483,0.7661,95.5200,-49.6826,117.6758,shake
-0.0068,-1.3280,0.6025,49.8657,-15.3198,65.4907,shake
-0.0325,-1.2705,0.6620,-50.8423,3.2349,-66.0400,shake
-0.1385,-0.3411,0.9603,-123.7793,3.7231,-128.4180,shake
-0.1957,0.1521,1.0889,-78.3081,-6.0425,-135.9863,shake
-0.2954,0.7347,0.9420,-60.7300,-14.6484,-117.9199,shake
-0.4193,1.0905,0.9753,-13.8550,-13.0005,-26.0620,shake
-0.2657,0.6731,1.0427,57.0068,-2.0142,82.2754,shake
-0.1426,0.1467,1.0380,63.9038,-15.9912,125.7934,shake
-0.1611,-0.6492,0.9115,111.2671,-22.7661,125.9766,shake
-0.0990,-1.1711,0.6021,54.0161,-21.6064,54.9927,shake
-0.1865,-0.9689,0.6501,-24.6582,1.5869,-34.8511,shake
-0.2428,-0.4200,0.8795,-89.2334,23.2544,-95.6421,shake
-0.2169,-0.0018,1.0566,-62.5000,20.9961,-119.8120,shake
-0.2991,0.5474,0.9844,-63.9648,-3.2959,-104.8584,shake
-0.3950,1.0463,1.0748,-21.5454,3.9673,-39.9780,shake
-0.2246,0.5818,1.1732,70.4956,-12.2681,85.8154,shake
