ax,ay,az,gx,gy,gz,label
0.1785,-0.3732,1.0022,-2.4414,-7.1411,21.1182,circle
0.1031,-0.3595,0.9333,7.9956,-9.6436,14.2212,circle
0.0852,-0.4390,0.9227,18.1885,-4.7607,1.0986,circle
0.0275,-0.3950,0.8923,4.9438,-4.5776,-11.8408,circle
0.0161,-0.3875,0.8826,5.9204,5.1880,-19.1040,circle
0.0061,-0.4012,0.9347,3.4790,13.1226,-33.9355,circle
-0.0309,-0.3386,0.9574,3.5400,11.7187,-43.3350,circle
-0.0525,-0.2970,0.9617,-0.3662,13.1836,-50.3540,circle
-0.0205,-0.2742,1.0168,-5.7373,16.1133,-54.1992,circle
-0.0085,-0.2012,1.0708,-12.6343,16.0522,-55.9692,circle
0.0155,-0.1322,1.1229,-12.5732,11.4746,-51.3306,circle
0.0677,-0.2253,0.9539,4.5166,7.7515,19.2871,circle
0.0756,-0.2845,0.9723,9.8267,11.8408,8.6670,circle
0.0513,-0.3167,0.9733,6.7749,13.3057,1.0986,circle
0.0398,-0.3612,0.9906,17.2729,14.9536,-21.0571,circle
0.0270,-0.3518,1.0448,16.4185,16.6626,-33.2642,circle
-0.0055,-0.3207,1.0332,4.4556,13.1836,-44.1894,circle
-0.0308,-0.2640,1.0120,4.5776,14.2212,-48.8281,circle
-0.0388,-0.2064,0.9979,10.3149,14.7705,-55.9082,circle
-0.0049,-0.1643,1.0472,10.0708,17.1509,-57.8613,circle
-0.0066,-0.1412,1.0533,7.2632,12.2681,-54.5654,circle
-0.0033,-0.0929,1.0326,2.6855,7.0801,-49.9268,circle
0.0032,-0.0502,1.0298,-0.3662,5.1880,-40.7715,circle
-0.0006,-0.0525,1.0100,-2.6855,0.3662,-26.2451,circle
0.0151,-0.0391,1.0061,-11.4136,-0.6714,-20.7520,circle
0.0219,-0.0270,1.0383,-6.2256,-0.4272,-17.9443,circle
0.0325,0.0289,1.0461,-9.3994,-6.2256,-12.8174,circle
0.0303,0.0802,1.0190,-5.6763,-9.8267,-2.3804,circle
0.0500,0.1121,1.0245,-8.1787,-11.6577,8.4839,circle
0.0586,0.1173,0.9954,-6.8359,-14.0991,23.8647,circle
0.0916,0.0991,0.9884,-11.9019,-11.9629,34.5459,circle
0.1144,0.0513,0.9862,0.0610,-11.8408,41.0767,circle
0.1259,0.0132,0.9690,-2.0142,-11.4136,46.8140,circle
0.1287,-0.0380,0.9506,-2.3193,-5.8594,51.1475,circle
0.1583,-0.0817,0.9872,-3.6011,-2.5635,50.9033,circle
0.1660,-0.1594,0.9926,0.1831,-2.6245,52.3071,circle
0.1453,-0.1973,0.9518,-1.8921,-5.4321,45.4712,circle
0.1533,-0.2184,0.9703,2.3804,1.0376,32.0435,circle
0.1616,-0.2368,0.9919,0.3052,0.3052,26.6113,circle
0.1368,-0.2314,0.9921,-2.8687,2.6245,21.1792,circle
0.1329,-0.2458,1.0074,1.2817,4.8218,11.8408,circle
0.1184,-0.2372,1.0128,1.5869,6.5918,5.4932,circle
0.1024,-0.2549,1.0123,5.0049,6.1646,-0.5493,circle
0.0613,-0.3192,0.9951,4.6387,5.7983,-5.4932,circle
0.0266,-0.3534,0.9667,10.2539,14.5874,-25.0854,circle
0.0283,-0.3329,1.0477,6.7749,18.9209,-34.9121,circle
-0.0140,-0.3049,1.0195,0.9766,11.8408,-39.1846,circle
-0.0256,-0.2729,0.9958,7.0801,12.8174,-44.4946,circle
-0.0306,-0.2220,1.0159,6.8359,11.4746,-48.8281,circle
-0.0188,-0.1472,1.0239,5.6152,10.2539,-47.0581,circle
0.0004,-0.1213,1.0544,1.2817,9.8267,-40.6494,circle
0.0004,-0.0776,1.0406,3.4790,3.6621,-35.5835,circle
-0.0081,-0.0996,1.0151,3.6011,-1.9531,-26.8555,circle
