ax,ay,az,gx,gy,gz,label
-0.1971,-0.2368,0.9536,-2.2583,-1.3428,2.6245,rest
-0.1947,-0.2484,0.9587,3.8452,0.3662,3.0518,rest
-0.1982,-0.2751,0.9343,3.4180,-1.1597,3.6621,rest
-0.1931,-0.2620,0.9486,1.4038,0.7324,2.5024,rest
-0.1890,-0.2545,0.9524,3.6621,0.0000,3.8452,rest
-0.1871,-0.2816,0.9336,2.0142,-2.9297,3.0518,rest
-0.1849,-0.2715,0.9440,-0.3662,0.1221,0.7324,rest
-0.1978,-0.2577,0.9482,2.2583,1.2817,2.2583,rest
-0.1838,-0.2953,0.9393,3.4790,2.1973,-0.9766,rest
-0.1875,-0.2854,0.9392,-1.0986,0.5493,-3.3569,rest
-0.1936,-0.2538,0.9492,-2.7466,-0.2441,-2.1973,rest
-0.1865,-0.2567,0.9570,0.3662,-0.4272,-1.1597,rest
-0.1887,-0.2933,0.9430,0.4883,0.2441,-1.1597,rest
-0.1952,-0.2740,0.9413,0.1221,0.0000,-1.2207,rest
-0.1990,-0.2701,0.9377,0.3662,1.2207,-0.3662,rest
-0.1824,-0.2820,0.9475,1.7700,1.2817,-0.1831,rest
-0.1808,-0.2885,0.9396,1.7090,0.9766,-0.7324,rest
-0.1862,-0.2731,0.9431,-0.2441,0.6714,-0.3052,rest
-0.1840,-0.2756,0.9456,1.0376,1.1597,0.6104,rest
-0.1868,-0.2948,0.9430,2.5024,0.3052,0.1831,rest
-0.1964,-0.2827,0.9360,1.0376,0.9766,-0.2441,rest
-0.1888,-0.2855,0.9408,1.0986,1.4648,-0.1831,rest
-0.1835,-0.2878,0.9386,0.6104,1.7700,-1.0376,rest
-0.1820,-0.2749,0.9469,1.2817,1.5259,0.1221,rest
-0.1791,-0.2880,0.9398,3.0518,1.7700,0.0000,rest
-0.1818,-0.2959,0.9344,2.9297,2.8687,-1.4038,rest
-0.1752,-0.2874,0.9437,1.9531,2.3804,-2.1362,rest
-0.1761,-0.2914,0.9475,2.6245,-0.4272,-3.0518,rest
-0.1914,-0.2819,0.9344,2.6855,-0.8545,-2.9297,rest
-0.1788,-0.2905,0.9434,0.3052,1.4648,-0.6104,rest
-0.1718,-0.3014,0.9365,2.3193,-2.0752,-0.3662,rest
-0.1725,-0.2888,0.9467,-3.4180,-5.3711,0.9766,rest
-0.1965,-0.2957,0.9259,-8.4229,-8.4229,2.9907,rest
-0.1957,-0.3010,0.9327,-13.3667,-4.5776,1.7700,rest
-0.1919,-0.2614,0.9546,-6.7139,-0.4272,-5.2490,rest
-0.1982,-0.2502,0.9464,-0.7935,-0.9766,-2.3804,rest
-0.1919,-0.2802,0.9442,-2.9907,-0.9155,-3.2349,rest
-0.2015,-0.2673,0.9393,0.4272,-0.5493,-3.6011,rest
-0.2109,-0.2496,0.9427,-1.0986,1.0986,-0.7935,rest
-0.2063,-0.2444,0.9531,2.7466,1.0376,2.9907,rest
-0.2009,-0.2719,0.9445,2.5635,1.1597,5.2490,rest
-0.1964,-0.2871,0.9373,3.4180,0.7324,5.5542,rest
-0.1879,-0.2688,0.9492,2.3193,2.1362,3.7231,rest
-0.1896,-0.2903,0.9319,0.7324,-0.5493,6.4087,rest
-0.1930,-0.2968,0.9365,-4.6997,-0.5493,5.3711,rest
-0.1917,-0.2574,0.9542,-2.0142,0.1831,1.8311,rest
-0.1840,-0.2837,0.9360,2.0142,-1.7700,1.5869,rest
-0.1875,-0.2853,0.9385,-1.1597,-0.2441,-0.7324,rest
-0.1841,-0.2596,0.9485,-3.1128,-1.0376,0.0610,rest
-0.1849,-0.2837,0.9420,0.6104,-0.5493,0.9155,rest
-0.1881,-0.2784,0.9380,0.1831,-0.1221,-0.4883,rest
-0.1891,-0.2716,0.9434,-0.3662,0.8545,0.0000,rest
-0.1931,-0.2773,0.9384,-3.1738,-0.1221,0.9155,rest
-0.1880,-0.2722,0.9451,-3.5400,-0.3662,0.2441,rest
-0.2007,-0.2615,0.9425,-2.0142,-0.2441,-0.3052,rest
-0.1858,-0.2742,0.9565,1.7090,1.1597,-0.3662,rest
-0.1875,-0.2665,0.9414,1.4038,1.0376,0.4883,rest
-0.1859,-0.2665,0.9457,0.4272,0.0000,1.6479,rest
-0.1871,-0.2803,0.9434,0.1831,0.9155,0.1221,rest
-0.1915,-0.2798,0.9379,0.7324,0.4272,-1.2207,rest
-0.1975,-0.2698,0.9420,-1.7090,0.6104,-2.0752,rest
-0.1829,-0.2633,0.9478,-1.6479,0.4272,-1.7700,rest
-0.1952,-0.2501,0.9500,-0.6104,0.3662,0.8545,rest
-0.1926,-0.2593,0.9478,-2.7466,-0.4883,0.7324,rest
-0.1879,-0.2557,0.9523,-0.6104,-0.4883,-0.6714,rest
-0.1915,-0.2473,0.9496,-0.6104,0.4883,-0.4883,rest
-0.1943,-0.2523,0.9484,0.1221,-0.0610,0.1221,rest
-0.1987,-0.2477,0.9486,-0.4272,-0.7324,0.6714,rest
-0.1975,-0.2517,0.9512,0.7935,0.0610,0.6104,rest
-0.1985,-0.2510,0.9437,0.8545,-0.6104,0.3052,rest
-0.1887,-0.2467,0.9517,1.7090,0.6714,-0.4883,rest
-0.1754,-0.2533,0.9552,1.0376,0.5493,0.0610,rest
-0.1691,-0.2474,0.9528,1.5259,0.9155,0.9155,rest
-0.1812,-0.2711,0.9529,1.5259,1.7700,2.2583,rest
-0.2003,-0.2725,0.9370,1.0986,2.1973,-1.5869,rest
